strain	country	date
hRSV/A/Spain/GA-SCQ_110054/2024|EPI_ISL_18954890|2024-01-16	Spain	2024-01-16
hRSV/A/Italy/LIG-0602-1/2024|EPI_ISL_19028667|2024-02-06	Italy	2024-02-06
hRSV/A/USA/MN-MDH-00825/2024|EPI_ISL_19230605|2024-01-29	USA	2024-01-29
hRSV/A/France/BFC-RELAB-IPP02427/2024|EPI_ISL_18985887|2024-01-27	France	2024-01-27
hRSV/A/USA/TX-BCM-217085/2024|EPI_ISL_19159486|2024-01-03	USA	2024-01-03
hRSV/A/South_Africa/NICD-R03091/2024|EPI_ISL_19220694|2024-04-23	South Africa	2024-04-23
hRSV/A/Chile/MA-49584/2024|EPI_ISL_19360749|2024-06-18	Chile	2024-06-18
hRSV/A/England/UKHSA_RVU_1200982/2024|EPI_ISL_19060234|2024-03-14	England	2024-03-14
hRSV/A/China/YN-TPRI-1043622/2024|EPI_ISL_19179714|2024-03-01	China	2024-03-01
hRSV/A/South_Africa/NICD-R01826/2024|EPI_ISL_19220789|2024-03-11	South Africa	2024-03-11
hRSV/A/England/RE19003271/2019|EPI_ISL_1834169|2019-12-17	England	2019-12-17
hRSV/A/South_Africa/UMC-270102041/2019|EPI_ISL_19048204|2019-04-17	South Africa	2019-04-17
hRSV/A/South_Africa/UMC-270102009/2019|EPI_ISL_19049276|2019-02-26	South Africa	2019-02-26
hRSV/A/Canada/un-UMC-010103025/2019|EPI_ISL_19049185|2019-12-14	Canada	2019-12-14
hRSV/A/USA/WA-BBI-S23294/2019|EPI_ISL_18143623|2019-12-29	USA	2019-12-29
hRSV/A/France/ARA-HCL019215593201/2019|EPI_ISL_18789030|2019-12-15	France	2019-12-15
hRSV/A/England/RE19003140/2019|EPI_ISL_1647398|2019-11-04	England	2019-11-04
hRSV/A/Spain/CT-HUVH-140890/2019|EPI_ISL_18682357|2019-11-23	Spain	2019-11-23
hRSV/A/Canada/un-UMC-010203012/2019|EPI_ISL_19049046|2019-12-05	Canada	2019-12-05
hRSV/A/England/RE19003148/2019|EPI_ISL_1647401|2019-11-20	England	2019-11-20
hRSV/A/USA/WA-BBI-S25199/2020|EPI_ISL_19125783|2020-02-04	USA	2020-02-04
hRSV/A/Russia/un-UMC-070103019/2020|EPI_ISL_19048071|2020-02-04	Russia	2020-02-04
hRSV/A/England/214061276/2021|EPI_ISL_16714544|2021-10-06	England	2021-10-06
hRSV/A/Australia/un-UMC-610103007/2020|EPI_ISL_19049236|2020-11-08	Australia	2020-11-08
hRSV/A/Australia/3002687/2021|EPI_ISL_2839404|2021-01-01	Australia	2021-01-01
hRSV/A/New_Zealand/IESR-VR0529/2021|EPI_ISL_16959638|2021-06-14	New Zealand	2021-06-14
hRSV/A/Scotland/WoSSVC-EXP_15_04/2021|EPI_ISL_18277077|2021-09	Scotland	XXXX-XX-XX
hRSV/A/Spain/CT-HUVH-658578/2021|EPI_ISL_18682118|2021-10-27	Spain	2021-10-27
hRSV/A/France/ARA-HCL020017967701/2020|EPI_ISL_18789131|2020-01-29	France	2020-01-29
hRSV/A/Australia/1011044/2020|EPI_ISL_2839438|2020-12-01	Australia	2020-12-01
hRSV/A/USA/WA-BBI-S24989/2020|EPI_ISL_19006881|2020-01-16	USA	2020-01-16
hRSV/A/Australia/VIC-MMC099/2021|EPI_ISL_2543781|2021-01-18	Australia	2021-01-18
hRSV/A/USA/WA-BBI-S23345/2020|EPI_ISL_18143639|2020-01-23	USA	2020-01-23
hRSV/A/USA/WA-BBI-S23340/2020|EPI_ISL_18143654|2020-01-19	USA	2020-01-19
hRSV/A/Germany/BW-22-00946/2021|EPI_ISL_17995745|2021-10-26	Germany	2021-10-26
hRSV/A/Italy/SIC-15_03/2020|EPI_ISL_19063396|2020-01-13	Italy	2020-01-13
hRSV/A/Australia/WM3302850/2020|EPI_ISL_2839244|2020-11-25	Australia	2020-11-25
hRSV/A/Argentina/HNRG-448/2021|EPI_ISL_15055325|2021-07-19	Argentina	2021-07-19
hRSV/A/Kuwait/KUNIV-41556/2021|EPI_ISL_18851838|2021-10-19	Kuwait	2021-10-19
hRSV/A/New_Zealand/IESR-VR1283/2021|EPI_ISL_16959999|2021-07-23	New Zealand	2021-07-23
hRSV/A/USA/CA-IVY-D13J37B4/2022|EPI_ISL_17368009|2022-10-23	USA	2022-10-23
hRSV/A/New_Zealand/IESR-VR3796/2022|EPI_ISL_19207321|2022-07-17	New Zealand	2022-07-17
hRSV/A/England/UKHSA_RVU_3000951/2023|EPI_ISL_19291624|2023-12-13	England	2023-12-13
hRSV/A/Spain/CT-HUVH-916110/2022|EPI_ISL_18682211|2022-02-22	Spain	2022-02-22
hRSV/A/South_Africa/NICD-R03470/2022|EPI_ISL_12870553|2022-03-11	South Africa	2022-03-11
hRSV/A/France/PAC-HCL023189293901/2023|EPI_ISL_19281570|2023-11-27	France	2023-11-27
hRSV/A/USA/MN-MDH-00180/2023|EPI_ISL_18955110|2023-12-03	USA	2023-12-03
hRSV/A/Canada/ON-KHS-04773-v1/2022|EPI_ISL_19320876|2022-12-05	Canada	2022-12-05
hRSV/a/Slovakia/1342/2023|EPI_ISL_17481635|2023-02-07	Slovakia	2023-02-07
hRSV/A/France/BRE-RELAB-IPP29653/2023|EPI_ISL_18829063|2023-11-20	France	2023-11-20
hRSV/A/USA/OR-BBI-S24494/2023|EPI_ISL_18845944|2023-11-02	USA	2023-11-02
hRSV/A/England/5060138/2022|EPI_ISL_17276542|2022-12-07	England	2022-12-07
hRSV/A/Australia/VIC-RCH0048/2023|EPI_ISL_18668201|2023-04-30	Australia	2023-04-30
hRSV/A/England/UKHSA_RVU_4740230/2023|EPI_ISL_18717644|2023-11-17	England	2023-11-17
hRSV/A/Canary_Islands/HUNSC_ITER_150432016/2023|EPI_ISL_18810692|2023-11-30	Canary Islands	2023-11-30
hRSV/A/England/UKHSA_RVU_2004975/2022|EPI_ISL_19259195|2022-11-20	England	2022-11-20
hRSV/A/New_Zealand/IESR-VR3628/2022|EPI_ISL_19206707|2022-07-17	New Zealand	2022-07-17
hRSV/A/France/BRE-RELAB-IPP29684/2023|EPI_ISL_18829083|2023-11-21	France	2023-11-21
hRSV/A/Brazil/ES-FIOCRUZ-11449/2022|EPI_ISL_15895040|2022-04-25	Brazil	2022-04-25
hRSV/A/USA/WA-BBI-S23768/2022|EPI_ISL_18387943|2022-12-06	USA	2022-12-06
hRSV/A/Ecuador/GSB-0219-70/2024|EPI_ISL_19005009|2024-02-02	Ecuador	2024-02-02
hRSV/A/Peru/LIM-UPCH-4347/2024|EPI_ISL_19173807|2024-04-01	Peru	2024-04-01
hRSV/A/Brazil/SP-IAL-357745917/2024|EPI_ISL_19232709|2024-05-11	Brazil	2024-05-11
hRSV/A/Ecuador/GSB-0219-74/2024|EPI_ISL_19005010|2024-02-21	Ecuador	2024-02-21
